Codigo, Nombre,Direccion,Ciudad
BOG4441,Bogotá,Carrera 56- #12-34,Bogotá
CHA98765,Chapinero,Carrera 7 #43-23 ,Bogotá
TEU65356,Teusaquillo,Carrera 40 #24-23 ,Bogotá
USA34563,Usaquen,Calle 134 #15-23 ,Bogotá
SUB23954,Suba,Calle 145 #92-10 ,Bogotá
FON45294,Fontibón,Calle 17 #96-13 ,Bogotá
SUM34567,Sumapaz,Carrera 2 # 116-34,Bogotá
ENG65943,Engativa,Calle 67 # 80-34,Bogotá
MAR25294,Marly,Carrera 13 #49-12,Bogotá
PAR25295,Pardo Rubio,Transversal 3#42-12,Bogotá
QCA9885,Quinta Camacho,Carrera 9 # 69-34,Bogotá
CSA7381,Ciudad Salitre,Transversal 22 # 55-34,Bogotá
ALA2589,Alamos,Diagonal 87 # 89-86,Bogotá
